ID,Marca,Cliente,Zona,Latitud,Longitud,Estado,Imagen_URL
CD2MXN14111110,CASH DRO 2,EL BOOM TRACTOPARTES,Metro Foraneo,18.6322014,-99.3224038,Morelos,logos/cashdro2.png
CD2MXN18121811,CASH DRO 2,ACEROS Y GALVANIZADOS,Pacifico,31.8944626,-116.6941106,Baja California Norte,logos/cashdro2.png
CD2MXN18121817,CASH DRO 2,HOSPITAL SAN BERNABE,Norte,25.7573548,-100.3677111,Nuevo Leon,logos/cashdro2.png
CD2MXN18121809,CASH DRO 2,EL BOOM TRACTOPARTES,Metro Foraneo,18.0676542,-99.5609666,Guerrero ,logos/cashdro2.png
CD2MXN16070513,CASH DRO 2,EL BOOM TRACTOPARTES,Metro Foraneo,18.9154331,-99.1855985,Morelos,logos/cashdro2.png
CD2MXN15100110,CASH DRO 2,FERRETERIA LA CARRETILLA,Metro,19.2987686,-99.0520608,CDMX,logos/cashdro2.png
CD2MXN17030918,CASH DRO 2,CLUB LA CANADA,Metro,19.3390237,-99.2429635,CDMX,logos/cashdro2.png
CD2MXN17092615,CASH DRO 2,CLUB LA CANADA,Metro,19.5107311,-99.2283185,Estado de Mexico,logos/cashdro2.png
CD2MXN17092608,CASH DRO 2,CLUB LA CANADA,Metro,19.3138838,-99.2291536,CDMX,logos/cashdro2.png
CD2MXN17092616,CASH DRO 2,CLUB LA CANADA,Metro,19.3657443,-99.2640936,CDMX,logos/cashdro2.png
CD2MXN17092617,CASH DRO 2,CLUB LA CANADA,Metro,19.321989,-99.198909,CDMX,logos/cashdro2.png
CD2MXN17092618,CASH DRO 2,CLUB LA CANADA,Metro,19.3416616,-99.1913963,CDMX,logos/cashdro2.png
CD2MXN17092619,CASH DRO 2,CLUB LA CANADA,Metro,19.3682403,-99.168506,CDMX,logos/cashdro2.png
CD2MXN17092610,CASH DRO 2,EL BOOM TRACTOPARTES,Metro Foraneo,16.885513,-99.8298621,Guerrero ,logos/cashdro2.png
CD3MXN18121315,CASHDRO 3,UNO BY REAL MADRID,Metro,19.4316056,-99.1823351,CDMX,logos/cashdro3.png
CD3MXN18121313,CASHDRO 3,CENDERMATOLOGICO,Bajio,20.0567443,-99.3388321,Hidalgo ,logos/cashdro3.png
CD3MXN18121305,CASHDRO 3,GRUPO LIKCA,Metro,19.4115816,-99.1193449,CDMX,logos/cashdro3.png
CD3MXN19070908,CASHDRO 3,VERIFICENTRO CIFYVEMA,Norte,25.4278717,-100.9548501,Coahuila,logos/cashdro3.png
CD3MXN19070907,CASHDRO 3,GRUPO HOTELES MANDARIN,Metro,19.5837016,-99.0410711,Estado de Mexico,logos/cashdro3.png
CD3MXN19070912,CASHDRO 3,JOEYS PLANET,Metro,19.4301925,-99.1696118,CDMX,logos/cashdro3.png
CD3MXN19070913,CASHDRO 3,GRUPO HOTELES MANDARIN,Metro,19.5106698,-99.219508,Estado de Mexico,logos/cashdro3.png
CD3MXN19070914,CASHDRO 3,HOTEL BORA BORA,Bajio,20.6071776,-100.3357559,Queretaro,logos/cashdro3.png
CD3MXN19070911,CASHDRO 3,GRUPO SANCHEZ,Sureste,18.0304033,-92.90413,Tabasco,logos/cashdro3.png
CD3MXN19070910,CASHDRO 3,EL GATO CAFE,Pacifico,20.67318,-103.3582976,Jalisco,logos/cashdro3.png
CD3MXN19070915,CASHDRO 3,GRUPO HOTELES MANDARIN,Metro,19.6611806,-99.0848994,Estado de Mexico,logos/cashdro3.png
CD3MXN19092502,CASHDRO 3,SERVICIOS MEDICOS PROFESIONALES CHECHEN,Sureste,18.6380764,-91.7861417,Campeche,logos/cashdro3.png
CD3MXN19092504,CASHDRO 3,ALBERCAS OLIMPUS,Bajio,20.5806292,-100.3784884,Queretaro,logos/cashdro3.png
CD3MXN19091802,CASHDRO 3,PICK UP SERVICE,Norte,25.663639,-100.4012711,Nuevo Leon,logos/cashdro3.png
CD3MXN19091803,CASHDRO 3,JOEYS PLANET,Metro,19.3966971,-99.2809456,CDMX,logos/cashdro3.png
CD3MXN19091806,CASHDRO 3,FERRETERIA SEROSA,Metro,19.4738162,-99.2165339,Estado de Mexico,logos/cashdro3.png
CD3MXN19091810,CASHDRO 3,CLINICA GINECOLOGICA,Bajio,21.0198052,-101.2736358,Guanajuato,logos/cashdro3.png
CD3MXN19091811,CASHDRO 3,CARNICERIA LA GUADALUPANA,Metro,19.5227717,-99.2317744,Estado de Mexico,logos/cashdro3.png
CD3MXN19091817,CASHDRO 3,FERRETERIA TORNICENTRO,Metro,19.5416917,-99.1926309,Estado de Mexico,logos/cashdro3.png
CD3MXN19091820,CASHDRO 3,GRUPO PERRO NEGRO,Metro,19.3436165,-99.191702,CDMX,logos/cashdro3.png
CD3MXN19070903,CASHDRO 3,HELADOS DON RULO,Norte,25.6431405,-100.3003039,Nuevo Leon,logos/cashdro3.png
CD3MXN19070919,CASHDRO 3,GRUPO PERRO NEGRO,Metro,19.4165381,-99.1697163,CDMX,logos/cashdro3.png
CD3MXN19070925,CASHDRO 3,UNO BY REAL MADRID,Metro,19.4316056,-99.1823351,CDMX,logos/cashdro3.png
CD3MXN19070905,CASHDRO 3,VERIFICENTRO CIFYVEMA,Sureste,19.3934077,-96.6193187,Veracruz,logos/cashdro3.png
CD3MXN19070921,CASHDRO 3,TEXAS MERIDA,Sureste,20.9844433,-89.6803177,Yucatan,logos/cashdro3.png
CD3MXN22101303,CASHDRO 3,HALF & HALF,Norte,25.6354901,-100.3644832,Nuevo Leon,logos/cashdro3.png
CD3MXN22101307,CASHDRO 3,FERRETERIA COACALCO,Metro,19.6204368,-99.1618554,Estado de Mexico,logos/cashdro3.png
CD3MXN22101308,CASHDRO 3,CONSTRURAMA,Metro,19.4675038,-99.2534719,Estado de Mexico,logos/cashdro3.png
CD3MXN22101302,CASHDRO 3,PANADERIA EL REY DAVID,Metro Foraneo,18.9287813,-99.2434654,Morelos,logos/cashdro3.png
CD3MXN22101304,CASHDRO 3,HALF & HALF,Norte,25.6530941,-100.3813655,Nuevo Leon,logos/cashdro3.png
CD3MXN22101310,CASHDRO 3,HALF & HALF,Norte,25.4540421,-100.9818926,Coahuila,logos/cashdro3.png
CD3MXN23032904,CASHDRO 3,ALBERCAS OLIMPUS,Metro,19.6742928,-99.0209359,Estado de Mexico,logos/cashdro3.png
CD3MXN23032905,CASHDRO 3,ALBERCAS OLIMPUS,Bajio,20.3883814,-100.0014196,Queretaro,logos/cashdro3.png
CD3MXN23032902,CASHDRO 3,ALBERCAS OLIMPUS,Bajio,20.5534471,-100.4298638,Queretaro,logos/cashdro3.png
CD3MXN23032903,CASHDRO 3,ALBERCAS OLIMPUS,Bajio,20.5428619,-100.4519959,Queretaro,logos/cashdro3.png
CD3MXN23032901,CASHDRO 3,ALBERCAS OLIMPUS,Bajio,20.7105846,-100.4487513,Queretaro,logos/cashdro3.png
CD3MXN22101314,CASHDRO 3,PANADERIA SANTA ANA,Metro,19.4103067,-99.0654022,CDMX,logos/cashdro3.png
CD3MXN23050404,CASHDRO 3,CLINICA VET,Metro,19.3578247,-99.2039753,CDMX,logos/cashdro3.png
CD3MXN16071104,CASHDRO 3,TACOS EL PATA,Bajio,20.6492215,-100.4326682,Queretaro,logos/cashdro3.png
CD3MXN16071101,CASHDRO 3,SUPER FRESH,Metro,19.2766023,-99.1433228,CDMX,logos/cashdro3.png
CD3MXN16040601,CASHDRO 3,UNO BY REAL MADRID,Metro,19.506373,-99.2353009,CDMX,logos/cashdro3.png
CD3MXN16071109,CASHDRO 3,TEXAS MERIDA,Metro,19.3602609,-99.2745954,CDMX,logos/cashdro3.png
CD3MXN16071110,CASHDRO 3,LUGO CASTRO Y COMPA&IA,Metro,19.4998634,-99.1314826,CDMX,logos/cashdro3.png
CD3MXN16071107,CASHDRO 3,TEXAS MERIDA,Sureste,21.0461106,-89.6289502,Yucatan,logos/cashdro3.png
CD3MXN18091709,CASHDRO 3,CHS COMEDORES,Metro,19.4360762,-99.0719083,CDMX,logos/cashdro3.png
CD3MXN18050808,CASHDRO 3,HOTEL COMFORT INN,Bajio,20.5813225,-100.3976563,Queretaro,logos/cashdro3.png
CD3MXN18050809,CASHDRO 3,SPORTS CLUB,Metro,19.6869508,-99.2104794,Estado de Mexico,logos/cashdro3.png
CD3MXN18091706,CASHDRO 3,ESTHETIC DENTAL,Bajio,20.59758,-100.3736744,Queretaro,logos/cashdro3.png
CD3MXN18091710,CASHDRO 3,GRUPO PERRO NEGRO,Pacifico,20.6756254,-103.3692768,Jalisco,logos/cashdro3.png
